date,open,high,low,close,volume
2013-12-11,1987.22,2000.15,1972.87,1977.97,231374
2013-12-12,1966.44,1970.51,1958.99,1967.93,255084
2013-12-13,1963.04,1963.81,1947.44,1962.91,234102
2013-12-16,1960.60,1970.25,1956.63,1961.15,213506
2013-12-17,1977.94,1979.62,1962.22,1965.74,253888
2013-12-18,1971.85,1982.42,1966.18,1974.63,258664
2013-12-19,1996.79,1997.02,1969.95,1975.65,255817
2013-12-20,1973.12,1984.44,1972.59,1983.35,247065
2013-12-23,1993.45,2000.07,1989.00,1996.89,222998
2013-12-24,2000.24,2007.34,1994.34,2001.59,214694
2013-12-26,2004.25,2009.96,1997.34,1999.30,230531
2013-12-27,1994.05,2004.55,1987.58,2002.28,207767
2013-12-30,2004.32,2011.34,1998.61,2011.34,172231
2014-01-02,2013.11,2013.89,1967.19,1967.19,207770
2014-01-03,1963.72,1964.63,1936.15,1946.14,188529
2014-01-06,1947.62,1961.85,1943.74,1953.28,193630
2014-01-07,1947.65,1965.74,1947.08,1959.44,193027
2014-01-08,1965.50,1966.95,1950.02,1958.96,217070
2014-01-09,1962.30,1964.59,1946.11,1946.11,276402
2014-01-10,1949.53,1956.97,1931.16,1938.54,262993
2014-01-13,1947.38,1954.07,1942.83,1948.92,267942
2014-01-14,1942.79,1961.73,1939.31,1946.07,244063
2014-01-15,1956.43,1956.84,1945.87,1953.28,250867
2014-01-16,1957.91,1965.27,1955.79,1957.32,379567
2014-01-17,1958.50,1962.64,1943.13,1944.48,260911
2014-01-20,1945.99,1955.28,1934.38,1953.78,279527
2014-01-21,1955.26,1965.43,1949.56,1963.89,289327
2014-01-22,1960.46,1970.42,1959.57,1970.42,243857
2014-01-23,1968.77,1969.04,1947.01,1947.59,229385
2014-01-24,1941.55,1947.01,1924.49,1940.56,279237
2014-01-27,1905.91,1918.68,1899.76,1910.34,340433
2014-01-28,1907.18,1919.26,1904.05,1916.93,270495
2014-01-29,1925.93,1941.71,1925.52,1941.15,219931
2014-02-03,1930.09,1931.81,1917.64,1919.96,229649
2014-02-04,1894.96,1898.08,1885.53,1886.85,250976
2014-02-05,1897.95,1901.40,1888.47,1891.32,244029
2014-02-06,1897.35,1910.91,1897.35,1907.89,259441
2014-02-07,1922.45,1923.25,1910.90,1922.50,272962
2014-02-10,1928.13,1928.39,1916.40,1923.30,207959
2014-02-11,1924.45,1935.29,1920.55,1932.06,226381
2014-02-12,1942.23,1942.23,1933.54,1935.84,225374
2014-02-13,1936.62,1944.73,1924.39,1926.96,187857
2014-02-14,1930.14,1946.81,1930.14,1940.28,216591
2014-02-17,1951.74,1955.04,1942.94,1946.36,215468
2014-02-18,1946.88,1951.06,1935.60,1946.91,200447
2014-02-19,1944.70,1944.70,1932.44,1942.93,213564
2014-02-20,1932.90,1941.13,1927.53,1930.57,232323
2014-02-21,1948.03,1957.83,1946.68,1957.83,216316
2014-02-24,1958.06,1961.41,1943.86,1949.05,193814
2014-02-25,1958.30,1964.86,1955.70,1964.86,226039
2014-02-26,1963.45,1973.88,1955.92,1970.77,209148
2014-02-27,1969.85,1980.37,1965.70,1978.43,201056
2014-02-28,1976.48,1981.15,1972.65,1979.99,252826
2014-03-03,1967.90,1969.16,1955.11,1964.69,222622
2014-03-04,1954.58,1963.56,1952.61,1954.11,200370
2014-03-05,1973.28,1977.30,1970.28,1971.24,197699
2014-03-06,1973.67,1975.62,1968.17,1975.62,193740
2014-03-07,1979.70,1983.53,1968.66,1974.68,231557
2014-03-10,1967.63,1967.66,1951.96,1954.42,214944
2014-03-11,1957.22,1963.87,1951.20,1963.87,247468
2014-03-12,1957.67,1958.09,1930.48,1932.54,329924
2014-03-13,1940.35,1946.28,1931.75,1934.38,259620
2014-03-14,1916.07,1927.89,1913.64,1919.90,254026
2014-03-17,1921.15,1928.43,1919.61,1927.53,214930
2014-03-18,1941.12,1946.14,1931.83,1940.21,274288
2014-03-19,1947.34,1948.15,1935.27,1937.68,249083
2014-03-20,1934.15,1934.63,1919.37,1919.52,220601
2014-03-21,1930.24,1935.18,1927.85,1934.94,252871
2014-03-24,1937.06,1950.54,1937.06,1945.55,228281
2014-03-25,1940.90,1946.09,1936.62,1941.25,225161
2014-03-26,1954.60,1965.44,1953.69,1964.31,248946
2014-03-27,1963.66,1979.70,1963.10,1977.97,218061
2014-03-28,1972.63,1985.50,1971.25,1981.00,244600
2014-03-31,1988.73,1989.80,1973.05,1985.61,241041
2014-04-01,1983.78,1991.98,1976.06,1991.98,214642
2014-04-02,2000.13,2001.26,1995.08,1997.25,220913
2014-04-03,1999.42,2007.88,1992.16,1993.70,225726
2014-04-04,1987.84,1993.96,1985.76,1988.09,225636
2014-04-07,1984.29,1992.18,1978.63,1989.70,186350
2014-04-08,1977.61,1994.58,1977.61,1993.03,218149
2014-04-09,1997.98,2001.15,1992.12,1998.95,233699
2014-04-10,2007.71,2008.98,1995.79,2008.61,232447
2014-04-11,1985.28,1997.44,1985.16,1997.44,218126
2014-04-14,1993.81,2001.00,1993.07,1997.02,205712
2014-04-15,2008.49,2009.04,1990.34,1992.27,194527
2014-04-16,1994.31,1995.86,1986.25,1992.21,230741
2014-04-17,2000.47,2001.29,1984.98,1992.05,200186
2014-04-18,1998.52,2005.22,1998.26,2004.28,206507
2014-04-21,2006.21,2006.95,1993.53,1999.22,205579
2014-04-22,2000.94,2004.42,1991.47,2004.22,212020
2014-04-23,2010.06,2013.09,1999.78,2000.37,241735
2014-04-24,2006.38,2007.17,1993.18,1998.34,235075
2014-04-25,1996.61,1996.64,1971.66,1971.66,208364
2014-04-28,1969.04,1976.56,1969.04,1969.26,168833
2014-04-29,1974.67,1976.17,1960.36,1964.77,177609
2014-04-30,1973.56,1974.33,1955.15,1961.79,227318
2014-05-02,1966.29,1968.50,1956.32,1959.44,179541
2014-05-07,1964.19,1964.19,1939.55,1939.88,193041
2014-05-08,1945.94,1950.60,1934.72,1950.60,222431
2014-05-09,1953.48,1958.34,1949.64,1956.55,205210
2014-05-12,1956.26,1966.64,1950.91,1964.94,201644
2014-05-13,1973.08,1988.41,1969.60,1982.93,242163
2014-05-14,1990.99,2010.85,1990.79,2010.83,233872
2014-05-15,2007.88,2015.37,2006.38,2010.20,259392
2014-05-16,2003.48,2013.44,1997.27,2013.44,232530
2014-05-19,2013.79,2015.53,2002.89,2015.14,265596
2014-05-20,2011.85,2014.46,2004.32,2011.26,248337
2014-05-21,2003.48,2015.63,2001.74,2008.33,224091
2014-05-22,2015.41,2022.59,2011.60,2015.59,231079
2014-05-23,2013.09,2017.96,2011.76,2017.17,241806
2014-05-26,2016.21,2020.96,2008.14,2010.35,196576
2014-05-27,2014.87,2016.73,1988.44,1997.63,221792
2014-05-28,2000.26,2017.06,1997.89,2017.06,210651
2014-05-29,2020.67,2021.96,2009.23,2012.26,228539
2014-05-30,2015.37,2019.17,1994.96,1994.96,247325
2014-06-02,1998.81,2006.93,1995.69,2002.00,265591
2014-06-03,2006.31,2008.56,1990.72,2008.56,266745
2014-06-05,2007.20,2007.20,1986.95,1995.48,222092
2014-06-09,2004.73,2008.86,1986.53,1990.04,209610
2014-06-10,2000.89,2011.87,1996.21,2011.80,234933
2014-06-11,2009.51,2016.78,2006.73,2014.67,238049
2014-06-12,2013.60,2015.80,2003.57,2011.65,251876
2014-06-13,2005.55,2005.55,1984.04,1990.85,223113
2014-06-16,1986.86,1995.86,1985.30,1993.59,233604
2014-06-17,1994.89,2002.96,1991.53,2001.55,236597
2014-06-18,2002.26,2002.26,1987.03,1989.49,216850
2014-06-19,1994.23,1999.11,1985.89,1992.03,257886
2014-06-20,1990.71,1990.73,1965.12,1968.07,232659
2014-06-23,1975.10,1980.31,1971.61,1974.92,231738
2014-06-24,1976.24,1998.31,1976.24,1994.35,250605
2014-06-25,1992.69,1993.60,1980.78,1981.77,336654
2014-06-26,1983.00,1997.08,1982.48,1995.05,273508
2014-06-27,1990.90,1997.01,1983.88,1988.51,218845
2014-06-30,1996.13,2002.21,1992.65,2002.21,201128
2014-07-01,1993.29,1999.00,1987.89,1999.00,238871
2014-07-02,2008.00,2016.36,2002.40,2015.28,318423
2014-07-03,2015.99,2015.99,2007.86,2010.97,259914
2014-07-04,2018.35,2018.35,2005.84,2009.66,241514
2014-07-07,2007.53,2009.32,1998.03,2005.12,228339
2014-07-08,2003.55,2009.22,1997.87,2006.66,259357
2014-07-09,1997.57,2000.89,1992.42,2000.50,272746
2014-07-10,2004.63,2006.50,1999.96,2002.84,327639
2014-07-11,1988.93,1993.46,1985.53,1988.74,277018
2014-07-14,1998.26,2001.11,1993.57,1993.88,270389
2014-07-15,2004.93,2015.54,2004.49,2012.72,361202
2014-07-16,2015.67,2018.05,2008.99,2013.48,315167
2014-07-17,2020.52,2025.41,2018.77,2020.90,322695
2014-07-18,2007.12,2019.42,2006.01,2019.42,304521
2014-07-21,2028.02,2030.61,2016.42,2018.50,274627
2014-07-22,2021.18,2028.93,2017.76,2028.93,265888
2014-07-23,2032.73,2035.24,2025.00,2028.32,353511
2014-07-24,2032.94,2034.72,2021.22,2026.62,323591
2014-07-25,2030.04,2036.20,2027.33,2033.85,282770
2014-07-28,2035.96,2053.84,2035.96,2048.81,349019
2014-07-29,2054.03,2065.96,2053.41,2061.97,408767
2014-07-30,2064.47,2093.08,2062.88,2082.61,343286
2014-07-31,2081.75,2090.57,2070.78,2076.12,383727
2014-08-01,2063.71,2079.81,2062.54,2073.10,271966
2014-08-04,2080.77,2083.05,2067.17,2080.42,253202
2014-08-05,2076.17,2077.73,2058.92,2066.26,346821
2014-08-06,2062.93,2068.08,2055.68,2060.73,377267
2014-08-07,2062.24,2063.53,2047.75,2054.51,292936
2014-08-08,2049.51,2051.06,2026.56,2031.10,354821
2014-08-11,2048.18,2048.18,2037.80,2039.37,285843
2014-08-12,2048.39,2055.85,2038.14,2041.47,312800
2014-08-13,2046.68,2062.36,2043.11,2062.36,280664
2014-08-14,2065.69,2073.42,2056.06,2063.22,270849
2014-08-18,2070.95,2073.05,2053.13,2053.13,300419
2014-08-19,2065.19,2074.43,2064.34,2071.14,327123
2014-08-20,2080.77,2082.21,2063.61,2072.78,315355
2014-08-21,2067.63,2068.22,2041.91,2044.21,307795
2014-08-22,2048.24,2058.46,2046.54,2056.70,277858
2014-08-25,2049.16,2062.23,2044.20,2060.89,272045
2014-08-26,2069.07,2072.42,2065.15,2068.05,288908
2014-08-27,2075.45,2081.83,2070.77,2074.93,337612
2014-08-28,2083.03,2088.86,2072.14,2075.76,305877
2014-08-29,2070.73,2073.03,2060.14,2068.54,301374
2014-09-01,2067.80,2072.59,2062.30,2067.86,272469
2014-09-02,2065.97,2066.00,2049.15,2051.58,323115
2014-09-03,2050.09,2054.08,2040.44,2051.20,337971
2014-09-04,2059.05,2065.27,2050.79,2056.26,376388
2014-09-05,2053.18,2059.04,2044.68,2049.41,343350
2014-09-11,2046.97,2052.16,2034.13,2034.16,333410
2014-09-12,2042.51,2048.21,2037.37,2041.86,362672
2014-09-15,2039.03,2040.08,2028.80,2035.82,297606
2014-09-16,2039.92,2045.65,2036.23,2042.92,365691
2014-09-17,2052.06,2062.62,2051.11,2062.61,351669
2014-09-18,2058.21,2063.26,2044.17,2047.74,394273
2014-09-19,2057.56,2062.37,2053.66,2053.82,397737
2014-09-22,2053.30,2053.30,2032.36,2039.27,323891
2014-09-23,2028.90,2036.25,2025.16,2028.91,427814
2014-09-24,2024.75,2036.26,2019.91,2035.64,332586
2014-09-25,2045.66,2046.26,2030.09,2034.11,325375
2014-09-26,2019.17,2031.65,2018.70,2031.64,313524
2014-09-29,2035.93,2036.44,2021.37,2026.60,339588
2014-09-30,2023.18,2029.17,2007.30,2020.09,322812
2014-10-01,2013.47,2013.47,1989.84,1991.54,351581
